external_source,external_track_id,track_id,old_full_path,artist,title,bpm,key,cue_count,snapshot_date
traktor,ANcDVlZ3dmdmd2dmZmZlZlZmVmV3d4d3dniIeHiHeHh2eHZ3Z3Z4d3dndndmeHiHh3d3Z0RFVniHd3eHd4mId3iHd3eHh3eJiHeIiIh4h4d4iYiZeIiJmZiIiJiIiJiIl4d4mIiXiHeIiHeIeIeJiKqZl4l4mImHiHiHd4iZeJeJiJiKialWZniZiIiZmHiZmYiJmYiJmIiIiYiImZmYiYiYiKmaqZmZmZmYmImZmZmamZmZqZmIiHd3iIiImZmZiJiJmYiJiIh4d4doh3h3iHd3h2eIeHeId4d4h4h4hVVld3d3eHd2d4d3d3h3Z4iHd3iIiHiJiIiIeHd3IAAAAA==,1b6908ff-707f-588f-8c8b-69ac4b11eb62,/Users/sztuka/Music Library/Maanam/Maanam - Szare miraże [9A 171].mp3,,,86.328857,16,1,2025-12-02T00:27:47.254404+00:00
traktor,ANY3e5Z2qVh6p3aaZXm4h4uXh7qIe6j/7+///f/f7//////////////+3c7//////d/v7t3t//3O/////e7u3s//////////////////////////u////////////8vf//////////yrzf////////////3//////////7d3VDNFVEVVNFZ1aZqavd7e/8rN6yjM/v/////+/v7u/v7/7u/////u3My7//////////////////////////u//////////////f//////////2pq////////////////////////+l5m9u9vN3aiqqYeKmsvJi8zcu8uZm7cQAAAAAA==,82d9b1c5-2305-5be4-ab0c-70b0f45dfd31,/Users/sztuka/Music Library/Major Lazer/Major Lazer - Come On To Me feat. Sean Paul [7A 110].mp3,,,109.999725,14,1,2025-12-02T00:27:47.254404+00:00
traktor,AWcEVURUVEZFVFVGWv//7+/v///v/vl///////////////////////////x7mJiIeIeIiYiYmZmZmpmZiJmIiXfv////////////7/////////////v/////////////3//////////93sz/////////////7////////////8+5d3Z3Z2d2d3dnd4Z3aHZ3h2d3h3iIeIeHd3eHiIiIiIiYqqq4VDMzNFv//////////////////////////83////////////+/////////////a/////////////9////////////++/////////////VZ2ZmdmZndmZ3ZWUwAA==,94d9328d-ac28-589d-badc-99c61ee8d56a,"/Users/sztuka/Music Library/Modegroove, Yvvan Back/Modegroove, Yvvan Back - Nasty Girl (Original Mix) [11A 130].mp3",,,129.999802,18,1,2025-12-02T00:27:47.254404+00:00
traktor,AS4BEREUZnZXVmdnd4iZiHl5iJmou93tzMu7vMyqq8rKm6urqrqru6u7upmbu7u7qrqqu6u7q6vLqpvczMqsq8qrzMvKy8zKvMu7qru6u826vbzezNq8zt//7sq6q8zcqb67u7u7u7q7u7yrzMy93N3d27zLzLzO3ezP//3M27y6zLzLvLq8y83cy8zO7v/+ysuaz//t3drcy+2s3M7KzMrMrMzM3d3N7c3curu8zLy7zKrKzdu9zMy83Mzc3/7s////z////////+///////bu7iIm7ypqazv3sqau7qqmZqrq7qrq6uru7zbu6mJmHZVRDMiIRERAAAAAAAAAAAA==,7e0735dc-2f1a-544a-b5f0-d4f2de24ef1f,/Users/sztuka/Music Library/New Radicals/New Radicals - You Get What You Give [11B 114].mp3,,,113.911842,9,1,2025-12-02T00:27:47.254404+00:00
traktor,AJACRFqoZ4iHaHVUd2VTVVinaIiHd3VUZ2VUV5Z1ZWl0aHZkVWdkdlVURWaEVWeJZVdTZ2ZmZ2ZkVoZ3VmVkVneIVXdkVpmIZ4hlZ2aph4iIZ3ZWV3dlSodmZGVmVGVnd2RmRodlRVVnVoZmZVVVRWZ4ZFdmRGd5eHVXVGeIllZ3ZWeYhmZnZXZqqHiIh2d2VFZ2Znl4qHZWhmZWVVd3Zmh4p3dYdmVUVTRFVWVFRVZVRUdmVlV2VEZXZnZmVUZlZmZkVTRVVlWXdVVnVnVWdVV3h4Z2d2VomYdmdkVmaKhmiZiv/O2Yh3VVVZhlZVVFZmZDMzERERIQAAAAAAAAAA==,0d6b6ce5-fce6-5ce2-b7f8-000386c33e55,/Users/sztuka/Music Library/Paul Anka/Paul Anka - Diana [9B 140].flac,,,140.000000,7,1,2025-12-02T00:27:47.254404+00:00
traktor,AYcVZmeGZ5Z3Z5dop3d3l2ind3eXZ5eamHZlV5qYdmVXmph2ZVdmZVVVbNzd7s397N3uzv7t3u7O/ezd7s3e7N3uzf3s3u7N3f7+3s3t/u7evO3+/t7N7f7u3ruaurvMq9zLzO7N3f7+3s3d/u7evO3+/t693eu4VVVs7N3uzf7s3e7N/uzd7s3+7N3evL3s3e7N7uzd7s3u/u7evd3ruFVURWZWdlaHZlZ2VoeJmGZVVmVVVUZWZmZ2VodnZodnnf7+3r3d/u7eve3+/t693f7u3r3t/v7evd3+7t7NvP7+3s3d7N3Nl2VmVnZWh2ZWdlZ3iYdlREVUQzMiEAAAAA==,79c551af-6a83-5f11-8638-37cb3ad3683c,/Users/sztuka/Music Library/Paul Kalkbrenner/Paul Kalkbrenner - Cloud Rider [5B 124].flac,,,124.498886,3,1,2025-12-02T00:27:47.254404+00:00
traktor,AYcr3MzNy8zczMy7zNzMzcvM3d3My/7d3c3czN3dzczd3d3d3N3d3dzb/t3d3ezd3t3d3O7e3e3s3t7d3Nz+3t3d3M3d3dzKhmdmZmVWZmVVVWVVVVVERERERVa/7/7+7+/v/v7v/+7+7u3e7v7u7Hh4mYdmmZiJiH7+/v/u7u7u/+6u/u7u7t/93u7u7v7u/t7d7+7+3uyZiJmHZoiIiIef/v//7/7+7//e//3v7+7u/t/v3v/+///v//7//+yJiHdndmd3ZmZlf/7e3u3d3t7d3e/v3u7t3d7e7ey//t7u7d3e3u3d3+7e7e3d3u7t7MyHd2dmVWVVVVRWQQAAAA==,e6e9e71c-6db3-5e72-9021-9a0ff12446ef,/Users/sztuka/Music Library/Paul Kalkbrenner/Paul Kalkbrenner - No Goodbye (Extended Version) [11A 125].mp3,,,125.019661,18,1,2025-12-02T00:27:47.254404+00:00
traktor,ASgAEREiNEJUZFVWebqrqauqqqzamrmauaqr3Ym8qpuqu8y6qrqaury8zKrLubvLysy6u7urq7u9y7vcu929zv/q/+v/3f7//L/r79vu7////8//7/7////t/+////7NzM7L3d/sq8zM3M3u/8q8yqzczN3My8u7zL3N3bzrqsu7ze3crLmszM3d3LvLrMrMz//a/8v+zv7/+7/az+zdz////+///////////////+yqqf/+/9zuu8vP/t/d3snMz////////////v///////////////////////////8uqlBAAAAAQABEjQlVRNSESIiIRERERESERERIiIiISIg==,9532a1b3-7465-51cd-aaee-52f698d802c5,/Users/sztuka/Music Library/Queens of the Stone Age/Queens of the Stone Age - If I Had A Tail [12A 112].mp3,,,111.995659,13,1,2025-12-02T00:27:47.254404+00:00
traktor,ANoDZmaLvfqqzpfM7Kut+7vOmbzpjM7Ju+/LreqqvpjM65u++svdms3Xi865rO/P3tmazqvd+oq++t3smqzZvd+orLmdvqq6uprO65nO2uzsir3IrN6s3v+7v8q724u92qrf2cz5nc6nzN2qrP2rz7qr2nu+yrrfyrzpnN6XzNyrrv7u36ir+p7euLrfzd3qmr+q7vuLvci77aq866zfybzfvs3Jmt+nzembzvvL7aqcyJvOuaz/nL65vNyJzeuaz+qpy5qJd5mcqYnLipuZybh6mcuGd2nd/au+ye3uu73+zt/Kzfye7uu739vd/KvPue39u77+3t/L3vyv7+pncw==,3c299c07-030e-5b80-a341-9412620d9ca7,/Users/sztuka/Music Library/Reni Jusis/Reni Jusis - Zakręcona [3A 107].mp3,,,107.123817,22,1,2025-12-02T00:27:47.254404+00:00
traktor,ANwCNFRERWVUMzM0RURER7qXa5vNzu/////tqs7Lzv/////MurvM3/////y6rOy87v////2rz//////e///////////////////v/////////////+7///79mJeHiHiaiHiHh4eHh4qpd4iO3d7/////3dze7u//////3//+3v7v/////97P/u/////+7///3///z//////////9///////////8///////////s////3v/////v///+7e//7v///////////////////v//////z///3//////////7///////////+///////////////8p0IiERERAAAAAAAAAA==,3bdeaa9b-81ed-528d-b3ad-927f6e7401f4,/Users/sztuka/Music Library/Rotary/Rotary - Na jednej z dzikich plaż [8A 126].mp3,,,125.963181,21,1,2025-12-02T00:27:47.254404+00:00
